"","individual","scans_sampled","degree","strength","betweenness","eigenvector","group","season_id","group_size","degree_normalized"
"31","ncok",1,1,0.0357142857142857,0,0.16611611902912,"Ankhase","dry_2024",16,0.0666666666666667
"32","ndaw",1,1,0.111111111111111,0,0.0667234637576468,"Ankhase","dry_2024",16,0.0666666666666667
"33","ndl",1,1,0.125,0,0.0329643766124004,"Ankhase","dry_2024",16,0.0666666666666667
"34","ndon",1,1,0.0526315789473684,0,0.0948265467767214,"Ankhase","dry_2024",16,0.0666666666666667
"35","BBGhid25",7,5,0.103761364992568,0,0.1647161575047,"Ankhase","dry_2025",15,0.357142857142857
"36","BBNcok25",1,2,0.0219806763285024,0,0.0268282791441574,"Ankhase","dry_2025",15,0.142857142857143
"37","BBNdaw25",6,4,0.0726056673347581,0,0.0644337569910836,"Ankhase","dry_2025",15,0.285714285714286
"38","Ghid",92,16,0.801842277599259,0.271264367816092,1,"Ankhase","dry_2025",15,1.14285714285714
"39","Gib",87,13,0.118493322525591,0,0.100758861341711,"Ankhase","dry_2025",15,0.928571428571429
"40","Gigi",19,11,0.291783507879461,0,0.390019978194858,"Ankhase","dry_2025",15,0.785714285714286
"41","Giji",92,16,0.746841324512521,0.0804597701149425,0.958465478169535,"Ankhase","dry_2025",15,1.14285714285714
"42","Ginq",94,19,0.635935959676369,0.0620689655172414,0.711422503792602,"Ankhase","dry_2025",15,1.35714285714286
"43","Gobe",91,19,0.795142707387273,0.0873563218390805,0.942258627407252,"Ankhase","dry_2025",15,1.35714285714286
"44","Goli",19,10,0.272606801932144,0,0.368287867001564,"Ankhase","dry_2025",15,0.714285714285714
"45","Gom",95,15,0.268630790050117,0.0275862068965517,0.220618466663329,"Ankhase","dry_2025",15,1.07142857142857
"46","Gon",92,18,0.494281917060578,0.257471264367816,0.361702736612232,"Ankhase","dry_2025",15,1.28571428571429
"47","Nce",6,6,0.094818575970926,0,0.0771559224472397,"Ankhase","dry_2025",15,0.428571428571429
"48","Nci",93,14,0.388166655726252,0.197701149425287,0.280355176406388,"Ankhase","dry_2025",15,1
"49","Ncok",90,19,0.432893251183308,0.188505747126437,0.29071311943554,"Ankhase","dry_2025",15,1.35714285714286
"50","Ndab",6,6,0.08313629990874,0,0.0764120390041225,"Ankhase","dry_2025",15,0.428571428571429
"51","Ndaw",92,16,0.497082943548454,0.225287356321839,0.418939712676031,"Ankhase","dry_2025",15,1.14285714285714
"52","Ndin",92,17,0.430882121378369,0.0344827586206897,0.388659303942923,"Ankhase","dry_2025",15,1.21428571428571
"53","Ndl",92,17,0.285072199406455,0.0252873563218391,0.204488008903585,"Ankhase","dry_2025",15,1.21428571428571
"54","Ndon",89,14,0.200834456996763,0.0149425287356322,0.133881382702344,"Ankhase","dry_2025",15,1
"55","Sho",89,15,0.218065594059279,0.0770114942528736,0.214990557961699,"Ankhase","dry_2025",15,1.07142857142857
